,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1196,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2061.6483516483527,GravityBasedInstallation,,,,,,,,,
1203,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2073.6483516483527,GravityBasedInstallation,,,,,,,,,
1207,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2079.6483516483527,GravityBasedInstallation,,,,,,,,,
1208,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,2079.6483516483527,GravityBasedInstallation,,,,1.0,,site,,,
1219,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2098.1098901098912,GravityBasedInstallation,,,,3.0,0.0,,,,
1220,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,140.9230000080613,0.0,ACTION,2098.1099670016742,GravityBasedInstallation,,,,,,,,,
1221,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2098.1099670016742,GravityBasedInstallation,,,,,,,,,
1222,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,2098.1099670016742,GravityBasedInstallation,,,,,,,,,
1236,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2118.1098901098912,GravityBasedInstallation,,,,3.0,0.0,,,,
1237,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2118.1098901098912,GravityBasedInstallation,,,,,,Site,,,
1247,,Multi-Purpose AHTS Vessel,Delay,27.0,120585.375,ACTION,2145.1098901098912,GravityBasedInstallation,,,,,,,,,
1253,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2150.1098901098912,GravityBasedInstallation,,,,,,,,,
1254,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2151.1098901098912,GravityBasedInstallation,,,,,,,,,
1257,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2163.1098901098912,GravityBasedInstallation,,,,,,,,,
1259,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2169.1098901098912,GravityBasedInstallation,,,,,,,,,
1260,,Towing Group 1,Positioning Support,51.0,79721.5,ACTION,2169.1098901098912,GravityBasedInstallation,,,,1.0,,site,,,
1272,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2187.57142857143,GravityBasedInstallation,,,,3.0,0.0,,,,
1273,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,151.9230000281425,0.0,ACTION,2187.5719670199,GravityBasedInstallation,,,,,,,,,
1274,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2187.5719670199,GravityBasedInstallation,,,,,,,,,
1275,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,2187.5719670199,GravityBasedInstallation,,,,,,,,,
1286,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2207.57142857143,GravityBasedInstallation,,,,3.0,0.0,,,,
1287,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2207.57142857143,GravityBasedInstallation,,,,,,Site,,,
1290,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2212.57142857143,GravityBasedInstallation,,,,,,,,,
1292,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2213.57142857143,GravityBasedInstallation,,,,,,,,,
1297,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2225.57142857143,GravityBasedInstallation,,,,,,,,,
1301,,Multi-Purpose AHTS Vessel,Grout GBF,5.0,22330.625,ACTION,2230.57142857143,GravityBasedInstallation,,,,,,,,,
1304,,Multi-Purpose AHTS Vessel,Delay,13.0,58059.625,ACTION,2243.57142857143,GravityBasedInstallation,,,,,,,,,
1307,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,2244.57142857143,GravityBasedInstallation,,,,,,,,,
1308,,Towing Group 1,Positioning Support,37.0,57837.16666666667,ACTION,2244.57142857143,GravityBasedInstallation,,,,1.0,,site,,,
1323,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2263.0329670329684,GravityBasedInstallation,,,,3.0,0.0,,,,
1324,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,164.92300003359924,0.0,ACTION,2263.0329670352735,GravityBasedInstallation,,,,,,,,,
1325,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2263.0329670352735,GravityBasedInstallation,,,,,,,,,
1326,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,2263.0329670352735,GravityBasedInstallation,,,,,,,,,
1343,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2283.0329670329684,GravityBasedInstallation,,,,3.0,0.0,,,,
1344,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2283.0329670329684,GravityBasedInstallation,,,,,,Site,,,
1356,,Multi-Purpose AHTS Vessel,Delay,61.0,272433.625,ACTION,2344.0329670329684,GravityBasedInstallation,,,,,,,,,
1363,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2349.0329670329684,GravityBasedInstallation,,,,,,,,,
1364,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2350.0329670329684,GravityBasedInstallation,,,,,,,,,
1376,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2362.0329670329684,GravityBasedInstallation,,,,,,,,,
1382,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2368.0329670329684,GravityBasedInstallation,,,,,,,,,
1383,,Towing Group 1,Positioning Support,85.0,132869.1666666667,ACTION,2368.0329670329684,GravityBasedInstallation,,,,1.0,,site,,,
1391,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2386.494505494507,GravityBasedInstallation,,,,3.0,0.0,,,,
1392,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,198.92300004052595,0.0,ACTION,2386.494967060426,GravityBasedInstallation,,,,,,,,,
1393,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2386.494967060426,GravityBasedInstallation,,,,,,,,,
1394,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,2386.494967060426,GravityBasedInstallation,,,,,,,,,
1395,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2406.494505494507,GravityBasedInstallation,,,,3.0,0.0,,,,
1396,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2406.494505494507,GravityBasedInstallation,,,,,,Site,,,
1399,,Multi-Purpose AHTS Vessel,Delay,6.0,26796.75,ACTION,2412.494505494507,GravityBasedInstallation,,,,,,,,,
1404,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2417.494505494507,GravityBasedInstallation,,,,,,,,,
1406,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2418.494505494507,GravityBasedInstallation,,,,,,,,,
1408,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2430.494505494507,GravityBasedInstallation,,,,,,,,,
1411,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2436.494505494507,GravityBasedInstallation,,,,,,,,,
1412,,Towing Group 1,Positioning Support,30.0,46895.0,ACTION,2436.494505494507,GravityBasedInstallation,,,,1.0,,site,,,
1425,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2454.9560439560455,GravityBasedInstallation,,,,3.0,0.0,,,,
1426,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,191.92400003910006,0.0,ACTION,2454.9569670743736,GravityBasedInstallation,,,,,,,,,
1427,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2454.9569670743736,GravityBasedInstallation,,,,,,,,,
1428,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,2454.9569670743736,GravityBasedInstallation,,,,,,,,,
1442,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2474.9560439560455,GravityBasedInstallation,,,,3.0,0.0,,,,
1443,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2474.9560439560455,GravityBasedInstallation,,,,,,Site,,,
1447,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2479.9560439560455,GravityBasedInstallation,,,,,,,,,
1448,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2480.9560439560455,GravityBasedInstallation,,,,,,,,,
1454,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2492.9560439560455,GravityBasedInstallation,,,,,,,,,
1458,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2498.9560439560455,GravityBasedInstallation,,,,,,,,,
1459,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,2498.9560439560455,GravityBasedInstallation,,,,1.0,,site,,,
1472,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2517.417582417584,GravityBasedInstallation,,,,3.0,0.0,,,,
1473,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,130.92300002667253,0.0,ACTION,2517.4179670870985,GravityBasedInstallation,,,,,,,,,
1474,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2517.4179670870985,GravityBasedInstallation,,,,,,,,,
1475,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,2517.4179670870985,GravityBasedInstallation,,,,,,,,,
1490,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2537.417582417584,GravityBasedInstallation,,,,3.0,0.0,,,,
1491,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2537.417582417584,GravityBasedInstallation,,,,,,Site,,,
1493,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2542.417582417584,GravityBasedInstallation,,,,,,,,,
1494,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2543.417582417584,GravityBasedInstallation,,,,,,,,,
1501,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2555.417582417584,GravityBasedInstallation,,,,,,,,,
1505,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2561.417582417584,GravityBasedInstallation,,,,,,,,,
1506,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,2561.417582417584,GravityBasedInstallation,,,,1.0,,site,,,
1523,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2579.8791208791226,GravityBasedInstallation,,,,3.0,0.0,,,,
1524,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,124.92300002545016,0.0,ACTION,2579.8799670998237,GravityBasedInstallation,,,,,,,,,
1525,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2579.8799670998237,GravityBasedInstallation,,,,,,,,,
1526,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,2579.8799670998237,GravityBasedInstallation,,,,,,,,,
1529,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2599.8791208791226,GravityBasedInstallation,,,,3.0,0.0,,,,
1530,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,2599.8791208791226,GravityBasedInstallation,,,,,,Site,,,
1535,,Multi-Purpose AHTS Vessel,Delay,8.0,35729.0,ACTION,2607.8791208791226,GravityBasedInstallation,,,,,,,,,
1537,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,2612.8791208791226,GravityBasedInstallation,,,,,,,,,
1538,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,2613.8791208791226,GravityBasedInstallation,,,,,,,,,
1561,,Multi-Purpose AHTS Vessel,Delay,35.0,156314.375,ACTION,2648.8791208791226,GravityBasedInstallation,,,,,,,,,
1568,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,2660.8791208791226,GravityBasedInstallation,,,,,,,,,
1576,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,2666.8791208791226,GravityBasedInstallation,,,,,,,,,
1577,,Towing Group 1,Positioning Support,67.0,104732.16666666667,ACTION,2666.8791208791226,GravityBasedInstallation,,,,1.0,,site,,,
1593,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,2685.340659340661,GravityBasedInstallation,,,,3.0,0.0,,,,
1594,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,167.92300003421042,0.0,ACTION,2685.340967121309,GravityBasedInstallation,,,,,,,,,
1595,,Substructure Assembly Line 1,Move GBF from Wet Storage to Assembly Storage,0.0,0.0,ACTION,2685.340967121309,GravityBasedInstallation,,,,,,,,,
1596,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,2685.340967121309,GravityBasedInstallation,,,,,,,,,
1598,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,2705.340659340661,GravityBasedInstallation,,,,3.0,0.0,,,,
