,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,max_waveheight,max_windspeed,transit_speed,num_vessels,num_ahts_vessels
1233,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,3608.769230769231,GravityBasedInstallation,,,,,,,,
1234,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,3612.346153846154,GravityBasedInstallation,,,,,,,,
1235,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,3612.769230769231,GravityBasedInstallation,,,,,,,,
1236,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3613.346153846154,GravityBasedInstallation,,,,,,,,
1237,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3614.346153846154,GravityBasedInstallation,,,,,,,,
1238,,Turbine Assembly Line 2,Lift and Attach Tower Section,4.0,0.0,ACTION,3616.346153846154,GravityBasedInstallation,,,,,,,,
1239,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,3616.769230769231,GravityBasedInstallation,,,,,,,,
1240,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3626.346153846154,GravityBasedInstallation,,,,,,,,
1241,,Turbine Assembly Line 2,Lift and Attach Nacelle,12.0,0.0,ACTION,3628.346153846154,GravityBasedInstallation,,,,,,,,
1242,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,3628.769230769231,GravityBasedInstallation,,,,,,,,
1243,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3631.846153846154,GravityBasedInstallation,,,,,,,,
1244,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3632.269230769231,GravityBasedInstallation,,,,,,,,
1245,,Multi-Purpose AHTS Vessel,Grout GBF,6.0,26796.75,ACTION,3632.346153846154,GravityBasedInstallation,,,,,,,,
1246,,Towing Group 1,Positioning Support,24.0,37516.0,ACTION,3632.346153846154,GravityBasedInstallation,,site,,,,,1.0,
1247,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3635.346153846154,GravityBasedInstallation,,,,,,,,
1248,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3635.769230769231,GravityBasedInstallation,,,,,,,,
1249,,Turbine Assembly Line 2,Lift and Attach Blade,3.5,0.0,ACTION,3638.846153846154,GravityBasedInstallation,,,,,,,,
1250,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,3639.269230769231,GravityBasedInstallation,,,,,,,,
1251,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,3650.8076923076924,GravityBasedInstallation,,,,,,,3.0,0.0
1252,,Turbine Assembly Line 2,Mechanical Completion,24.0,0.0,ACTION,3662.846153846154,GravityBasedInstallation,,,,,,,,
1253,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,3663.269230769231,GravityBasedInstallation,,,,,,,,
1256,,Towing Group 1,Tow Substructure,20.0,93790.0,ACTION,3670.8076923076924,GravityBasedInstallation,,,,,,,3.0,0.0
1257,,Multi-Purpose AHTS Vessel,Delay: Not enough vessels for gravity foundations,38.46153846153857,171774.03846153893,ACTION,3670.8076923076924,GravityBasedInstallation,,Site,,,,,,
1261,,Multi-Purpose AHTS Vessel,Delay,30.0,133983.75,ACTION,3700.8076923076924,GravityBasedInstallation,,,,,,,,
1262,,Multi-Purpose AHTS Vessel,Position Substructure,5.0,22330.625,ACTION,3705.8076923076924,GravityBasedInstallation,,,,,,,,
1263,,Multi-Purpose AHTS Vessel,ROV Survey,1.0,4466.125,ACTION,3706.8076923076924,GravityBasedInstallation,,,,,,,,
1264,,Multi-Purpose AHTS Vessel,Pump Ballast,12.0,53593.5,ACTION,3718.8076923076924,GravityBasedInstallation,,,,,,,,
1269,,Multi-Purpose AHTS Vessel,Delay,12.0,53593.5,ACTION,3730.8076923076924,GravityBasedInstallation,,,,,,,,
1272,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,3731.8076923076924,GravityBasedInstallation,,,,,,,,
1275,,Multi-Purpose AHTS Vessel,Delay,1.0,4466.125,ACTION,3732.8076923076924,GravityBasedInstallation,,,,,,,,
1276,,Multi-Purpose AHTS Vessel,Grout GBF,1.0,4466.125,ACTION,3733.8076923076924,GravityBasedInstallation,,,,,,,,
1281,,Multi-Purpose AHTS Vessel,Delay,18.0,80390.25,ACTION,3751.8076923076924,GravityBasedInstallation,,,,,,,,
1284,,Multi-Purpose AHTS Vessel,Grout GBF,2.0,8932.25,ACTION,3753.8076923076924,GravityBasedInstallation,,,,,,,,
1287,,Multi-Purpose AHTS Vessel,Delay,4.0,17864.5,ACTION,3757.8076923076924,GravityBasedInstallation,,,,,,,,
1288,,Multi-Purpose AHTS Vessel,Grout GBF,2.0,8932.25,ACTION,3759.8076923076924,GravityBasedInstallation,,,,,,,,
1289,,Towing Group 1,Positioning Support,89.0,139121.83333333334,ACTION,3759.8076923076924,GravityBasedInstallation,,site,,,,,1.0,
1290,,Towing Group 1,Transit,18.46153846153846,86575.38461538461,ACTION,3778.269230769231,GravityBasedInstallation,,,,,,,3.0,0.0
1298,,Turbine Assembly Line 1,Delay,171.0,0.0,ACTION,3834.269230769231,GravityBasedInstallation,,,,,,,,
1299,,Turbine Assembly Line 2,Delay,172.0,0.0,ACTION,3834.846153846154,GravityBasedInstallation,,,,,,,,
1305,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,3906.269230769231,GravityBasedInstallation,,,,,,,,
1306,,Towing Group 1,Delay: No Completed Assemblies Available,128.0,600256.0,ACTION,3906.269230769231,GravityBasedInstallation,,,,,,,3.0,
1307,,Substructure Assembly Line 2,Delay: No Substructure Storage Available,317.92307692307713,0.0,ACTION,3906.269230769231,GravityBasedInstallation,,,,,,,,
1308,,Substructure Assembly Line 2,Substructure Assembly,0.0,0.0,ACTION,3906.269230769231,GravityBasedInstallation,,,,,,,,
1309,,Turbine Assembly Line 2,Electrical Completion,72.0,0.0,ACTION,3906.846153846154,GravityBasedInstallation,,,,,,,,
1310,,Substructure Assembly Line 1,Delay: No Substructure Storage Available,318.07692307692287,0.0,ACTION,3906.846153846154,GravityBasedInstallation,,,,,,,,
1311,,Substructure Assembly Line 1,Substructure Assembly,0.0,0.0,ACTION,3906.846153846154,GravityBasedInstallation,,,,,,,,
1312,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,3914.269230769231,GravityBasedInstallation,,,,,,,,
1313,,Turbine Assembly Line 2,Move Substructure,8.0,0.0,ACTION,3914.846153846154,GravityBasedInstallation,,,,,,,,
