,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
1591,,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,2001.2041472837286,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1603,,WTIV,Transit,12.0,200000.0,ACTION,2013.2041472837286,MonopileInstallation,,,,,,,,
1605,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,2015.2041472837286,MonopileInstallation,,,,,,,,
1606,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,2015.637480617062,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1607,,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,2016.637480617062,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1609,,WTIV,Release Monopile,3.0,50000.0,ACTION,2019.637480617062,MonopileInstallation,,,,,,,,
1611,,WTIV,Upend Monopile,0.8163377964765433,13605.629941275722,ACTION,2020.4538184135386,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1612,,WTIV,Lower Monopile,0.005,83.33333333333334,ACTION,2020.4588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1613,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2021.4588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1614,,WTIV,Drive Monopile,1.5,25000.0,ACTION,2022.9588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1616,,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,2024.9588184135387,MonopileInstallation,,,,,,,,
1617,,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,2025.9588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1620,,WTIV,Lower TP,1.0,16666.666666666668,ACTION,2026.9588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1623,,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,2030.9588184135387,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
1624,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2031.392151746872,MonopileInstallation,40.0,150.0,MonopileInstallation,3.0,,,,
