,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
1380,,WTIV,Lift Blade,1.5,25000.0,ACTION,2366.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1384,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2370.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1385,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2371.133333333334,TurbineInstallation,,,,,,,,,
1386,,WTIV,Lift Blade,1.5,25000.0,ACTION,2372.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1397,,WTIV,Delay,36.0,600000.0,ACTION,2408.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1398,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2412.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1402,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,2413.133333333334,TurbineInstallation,,,,,,,,,
1403,,WTIV,Lift Blade,1.5,25000.0,ACTION,2414.633333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1405,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,2418.133333333334,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1407,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,2418.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1409,,WTIV,Transit,12.0,200000.0,ACTION,2430.5666666666675,TurbineInstallation,,,,,,,,,
1410,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2434.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1414,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,2438.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
1416,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,2442.5666666666675,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
