,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,per_trip,location,max_waveheight,max_windspeed,transit_speed
2699,,WTIV,Lift Blade,1.5,25000.0,ACTION,3948.266666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2700,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3951.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2701,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3952.766666666669,TurbineInstallation,,,,,,,,
2702,,WTIV,Lift Blade,1.5,25000.0,ACTION,3954.266666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2703,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3957.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2704,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,3958.766666666669,TurbineInstallation,,,,,,,,
2705,,WTIV,Lift Blade,1.5,25000.0,ACTION,3960.266666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2706,,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,3963.766666666669,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2707,,WTIV,Jackdown,0.43333333333333335,7222.222222222223,ACTION,3964.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2708,,WTIV,Transit,12.0,200000.0,ACTION,3976.2000000000025,TurbineInstallation,,,,,,,,
2709,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,3980.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2710,,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,3984.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
2711,,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,3988.2000000000025,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,
