,cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,phase_name,num_vessels,num_ahts_vessels,location,max_waveheight,max_windspeed,transit_speed
2491,,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4100.816666666669,TurbineInstallation,,,,,,,,,
2492,,WTIV,Jackup,0.43333333333333335,7222.222222222223,ACTION,4101.250000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2493,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4104.250000000003,TurbineInstallation,,,,,,,,,
2494,,WTIV,Lift Tower Section,0.75,12500.0,ACTION,4105.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2497,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4111.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2498,,WTIV,Release Tower Section,3.0,50000.0,ACTION,4114.000000000003,TurbineInstallation,,,,,,,,,
2499,,WTIV,Lift Tower Section,1.5,25000.0,ACTION,4115.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2503,,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4121.500000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2504,,WTIV,Release Nacelle,3.0,50000.0,ACTION,4124.500000000003,TurbineInstallation,,,,,,,,,
2505,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4125.500000000003,TurbineInstallation,,,,,,,,,
2506,,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4127.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2507,,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4133.000000000003,TurbineInstallation,40.0,150.0,TurbineInstallation,,,,,,
2508,,WTIV,Reequip,1.0,16666.666666666668,ACTION,4134.000000000003,TurbineInstallation,,,,,,,,,
2509,,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4135.000000000003,TurbineInstallation,,,,,,,,,
